Date;Open;High;Low;Last Close;Chg.%;Total Value;Total Volume
09/14/2009;28.741;28.940;28.075;28.841;-1.50%;23,806,642;831,33
09/15/2009;28.791;29.110;28.393;28.851;+0.03%;35,794,139;1,243,366
09/16/2009;29.149;29.567;28.771;29.428;+2.00%;34,007,795;1,160,456
09/17/2009;29.746;30.642;29.746;30.293;+2.94%;77,800,578;2,582,237
09/18/2009;29.876;30.184;29.050;29.746;-1.81%;95,485,657;3,211,022
09/21/2009;29.647;29.836;28.751;29.836;+0.30%;32,146,506;1,102,804
09/22/2009;29.836;29.995;29.537;29.836;0.00%;23,848,388;801,949
09/23/2009;29.846;29.886;29.478;29.687;-0.50%;22,633,590;762,697
09/24/2009;29.448;29.468;28.672;28.751;-3.15%;36,549,810;1,258,490
09/25/2009;28.503;29.030;28.423;28.662;-0.31%;34,677,580;1,203,970
09/28/2009;28.851;29.846;28.622;29.846;+4.13%;43,002,050;1,467,822
09/29/2009;29.846;30.224;29.577;29.985;+0.47%;85,428,085;2,857,591
09/30/2009;29.925;31.239;29.925;30.383;+1.33%;180,974,141;5,893,133
10.01.2009;30.691;31.050;28.453;28.453;-6.35%;111,628,489;3,821,896
10.02.2009;28.443;28.801;26.632;27.199;-4.41%;153,749,754;5,556,496
10.05.2009;27.359;27.757;27.120;27.458;+0.95%;35,508,109;1,291,443
10.06.2009;27.866;29.100;27.707;28.980;+5.54%;63,781,346;2,235,255
10.07.2009;28.881;29.080;28.423;28.552;-1.48%;65,500,074;2,275,432
10.08.2009;29.060;29.338;28.284;28.831;+0.98%;42,464,055;1,477,150
10.09.2009;28.741;29.159;28.612;29.159;+1.14%;32,346,227;1,116,247
10.12.2009;29.249;29.706;29.199;29.547;+1.33%;28,618,528;969,619
10/13/2009;29.617;29.647;28.901;29.299;-0.84%;38,703,765;1,324,883
10/14/2009;29.498;30.343;29.498;30.214;+3.12%;72,548,848;2,418,258
10/15/2009;30.353;30.681;29.965;30.433;+0.72%;62,051,445;2,045,743
10/16/2009;30.433;30.711;29.746;30.303;-0.42%;46,577,885;1,546,171
10/19/2009;30.333;30.642;29.975;30.055;-0.82%;38,118,842;1,259,899
10/20/2009;30.542;30.811;29.995;30.761;+2.35%;45,434,102;1,491,094
10/21/2009;30.681;30.731;29.955;30.443;-1.03%;55,639,319;1,844,372
10/22/2009;29.965;30.144;29.567;29.736;-2.32%;59,564,613;1,997,710
10/23/2009;29.945;30.224;29.368;29.706;-0.10%;34,123,142;1,144,448
10/27/2009;29.249;29.249;28.264;28.353;-4.55%;88,413,067;3,093,516
10/28/2009;28.254;28.334;25.568;25.568;-9.82%;108,308,405;4,102,551
10/29/2009;25.269;27.816;24.434;27.359;+7.00%;104,946,926;3,978,721
10/30/2009;28.155;29.398;27.170;27.359;0.00%;215,510,601;7,601,121
11.02.2009;27.408;28.851;27.180;28.851;+5.45%;64,335,845;2,287,116
11.03.2009;28.353;28.552;27.607;28.304;-1.90%;65,349,342;2,331,737
11.04.2009;28.652;29.100;28.552;29.090;+2.78%;56,713,535;1,961,932
11.05.2009;28.652;29.338;28.473;29.338;+0.85%;89,996,581;3,114,807
11.06.2009;29.100;29.836;28.702;29.537;+0.68%;68,822,160;2,354,020
11.09.2009;29.736;30.910;29.736;30.582;+3.54%;109,398,822;3,590,774
11.10.2009;30.642;30.691;30.184;30.542;-0.13%;59,549,898;1,955,111
11.11.2009;30.453;30.811;30.453;30.632;+0.29%;61,479,599;2,004,302
11.12.2009;30.542;31.179;30.353;30.990;+1.17%;85,929,642;2,778,766
11/13/2009;30.791;31.358;30.254;30.463;-1.70%;98,345,922;3,191,347
11/16/2009;30.711;31.030;28.861;28.861;-5.26%;151,178,786;5,045,941
11/17/2009;29.100;29.199;28.652;29.100;+0.83%;237,942,976;8,195,368
11/18/2009;29.458;30.164;29.209;30.144;+3.59%;107,748,276;3,618,318
11/19/2009;29.866;30.094;29.249;29.577;-1.88%;99,811,078;3,359,857
11/20/2009;29.448;29.826;28.503;28.891;-2.32%;106,098,868;3,671,025
11/23/2009;29.139;29.527;28.940;29.219;+1.14%;44,193,339;1,514,528
11/24/2009;28.950;29.139;28.602;28.602;-2.11%;50,836,245;1,756,820
11/25/2009;28.950;29.060;28.155;28.353;-0.87%;50,736,261;1,777,792
11/26/2009;28.453;28.453;26.652;27.458;-3.16%;92,165,391;3,370,391
11/27/2009;26.871;28.334;26.513;27.965;+1.85%;68,479,979;2,504,695
11/30/2009;28.254;28.254;26.821;26.941;-3.66%;102,000,635;3,761,799
12.01.2009;27.269;27.995;27.189;27.647;+2.62%;55,802,211;2,015,256
12.02.2009;27.757;28.105;27.597;28.025;+1.37%;40,462,234;1,450,716
12.03.2009;28.214;28.602;28.125;28.254;+0.82%;29,985,407;1,057,905
12.04.2009;28.254;29.199;27.876;29.199;+3.35%;42,820,881;1,496,172
12.07.2009;29.100;29.100;28.403;28.732;-1.60%;48,238,247;1,684,357
12.09.2009;28.065;28.234;27.050;27.060;-5.82%;95,035,190;3,450,133
12.10.2009;27.160;27.876;27.110;27.677;+2.28%;62,917,920;2,277,995
12.11.2009;28.015;28.334;27.170;27.269;-1.47%;43,765,591;1,588,432
12/14/2009;27.607;27.757;26.971;27.219;-0.18%;32,371,858;1,181,649
12/15/2009;27.418;27.458;25.976;26.155;-3.91%;111,645,249;4,210,556
12/16/2009;26.264;27.259;25.707;27.259;+4.22%;68,183,510;2,562,868
12/17/2009;27.050;27.199;26.354;26.374;-3.25%;40,255,161;1,505,265
12/18/2009;26.414;26.722;25.518;25.518;-3.24%;124,027,381;4,758,668
12/21/2009;25.836;26.364;25.727;26.175;+2.57%;32,522,538;1,248,275
12/22/2009;26.364;26.404;25.767;26.016;-0.61%;33,481,100;1,287,153
12/23/2009;26.006;26.105;25.667;25.836;-0.69%;17,965,868;695,152
12/28/2009;25.956;26.105;25.717;26.055;+0.85%;16,604,524;639,99
12/29/2009;26.215;26.414;26.016;26.384;+1.26%;17,544,858;668,635
